model,config,shop,price_rub,version,seller,rating,reviews,seller_rating,cross_border,trusted,title,url,fetched_at
Samsung Galaxy A17 4G,6/128,market.yandex.ru,15995,?,,4.9,803,,0,1,"Samsung Galaxy A17 4G, голубой, 128 ГБ, 6 ГБ, Да, Dual nano SIM, MediaTek Helio G99",https://market.yandex.ru/card/galaxy-a17-4g/4988961395,2026-09-23T21:09:44Z
Samsung Galaxy A17 4G,6/128,market.yandex.ru,15995,?,,4.9,803,,0,1,"Смартфон Samsung Galaxy A17 4G 6GB/128GB, Dual nano SIM, черный",https://market.yandex.ru/card/galaxy-a17-4g/4984898262,2026-09-23T21:09:44Z
Samsung Galaxy A17 4G,6/128,market.yandex.ru,15995,?,,4.9,803,,0,1,"Samsung Galaxy A17 4G, серый, 128 ГБ, 6 ГБ, Dual nano SIM, MediaTek Helio G99",https://market.yandex.ru/card/a17-4g/4984898246,2026-09-23T21:09:44Z
